ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
23090,с.,Драганово,BGS,BGS04,BGS04-05,3,7,4,1901,SE,1616
23100,с.,Драганово,VTR,VTR06,VTR06-05,3,5,2,1901,N,1617
23114,с.,Драганово,KRZ,KRZ35,KRZ35-05,3,6,5,1901,S,1618
23128,с.,Драганово,DOB,DOB15,DOB15-21,3,7,4,1901,NE,1619
23131,с.,Драгановци,VTR,VTR13,VTR13-00,3,8,5,1901,N,1620
23159,с.,Драгановци,GAB,GAB05,GAB05-10,3,6,5,1901,N,1621
23162,с.,Драганосковци,VTR,VTR13,VTR13-00,3,8,6,1901,N,1622
23176,с.,Драганци,BGS,BGS09,BGS09-00,3,7,3,1901,SE,1623
23185,с.,Драганчетата,GAB,GAB05,GAB05-12,3,8,6,1907,N,1624
23193,с.,Драгаш войвода,PVN,PVN21,PVN21-05,3,6,2,1901,NW,1625
23203,с.,Драгиевци,GAB,GAB05,GAB05-10,3,8,5,1901,N,1626
23217,с.,Драгижево,VTR,VTR20,VTR20-03,3,6,4,1901,N,1627
23220,с.,Драгийци,VTR,VTR13,VTR13-00,3,8,6,1901,N,1628
23234,с.,Драгиново,PAZ,PAZ08,PAZ08-08,3,4,7,1901,S,1629
23251,с.,Драгичево,PER,PER32,PER32-07,3,5,7,1901,SW,1630
23265,с.,Драгневци,VTR,VTR13,VTR13-00,3,8,6,1901,N,1631
23279,с.,Драгневци,GAB,GAB35,GAB35-04,3,8,6,1901,N,1632
23282,с.,Драговищица,KNL,KNL29,KNL29-17,3,6,6,1901,SW,1633
23296,с.,Драговищица,SFO,SFO26,SFO26-06,3,5,6,1901,SW,1634
23306,с.,Драгово,BGS,BGS09,BGS09-09,3,7,4,1901,SE,1635
23323,с.,Драгодан,KNL,KNL27,KNL27-00,3,8,5,1901,SW,1636
23337,с.,Драгоданово,SLV,SLV20,SLV20-15,3,6,3,1901,SE,1637
23340,с.,Драгоево,SHU,SHU23,SHU23-01,3,6,3,1901,NE,1638
23354,с.,Драгоил,SFO,SFO16,SFO16-00,3,8,7,1901,SW,1639
