kmetstvo,name,center,document,category
HKV30-19,Лясковец,44803,395,
HKV30-20,Поповец,57618,395,
HKV30-21,Пчелари,58815,395,
HKV30-22,Светослав,65629,395,
HKV30-23,Тънково,73585,1896,
HKV30-24,Царева поляна,78094,1896,
HKV30-25,Кралево,39400,1896,
HKV30-26,Маджари,46070,660,
HKV30-27,Малък извор,46899,660,
HKV30-28,Пътниково,59207,1896,
HKV30-29,Рабово,61025,660,
HKV30-30,Силен,66411,660,
HKV32-01,Българска поляна,07346,1896,
HKV32-03,Капитан Петко войвода,24013,1896,
HKV32-05,Княжево,37407,1896,
HKV32-06,Мрамор,49219,2,
HKV32-07,Орешник,53802,2,
HKV32-08,Орлов дол,53895,2,
HKV32-11,Радовец,61491,2,
HKV32-13,Синапово,66487,2,
HKV32-14,Срем,68583,2,
HKV32-15,Устрем,75191,2,
HKV32-16,Хлябово,77325,2,
HKV33-01,Бисер,04128,2,
HKV33-02,Болярски извор,05298,660,
HKV33-03,Браница,06080,1896,
HKV33-04,Българин,07315,2,
HKV33-05,Върбово,12810,660,
HKV33-06,Доситеево,23011,1896,
HKV33-08,Иваново,32100,1896,
HKV33-09,Изворово,32487,1896,
HKV33-12,Надежден,51041,1896,
HKV33-13,Овчарово,53237,1896,
HKV33-14,Орешец,53775,1896,
HKV33-16,Поляново,57434,1896,
HKV33-17,Преславец,58244,1896,
HKV33-18,Рогозиново,62832,1896,
HKV33-19,Славяново,67101,2,
HKV33-20,Смирненци,67581,1896,
HKV33-21,Черепово,80552,1896,
HKV33-23,Шишманово,83377,660,
HKV34-01,Александрово,00326,1896,
HKV34-02,Брягово,06759,2,
HKV34-03,Войводово,11867,2,
HKV34-04,Въгларово,12382,2,
HKV34-05,Гарваново,14550,2,
HKV34-06,Големанци,15429,2,
HKV34-07,Горно Войводино,16729,1896,
HKV34-08,Гълъбец,18232,660,
HKV34-09,Динево,21155,2,
HKV34-10,Долно Войводино,22589,1896,
HKV34-11,Долно Големанци,24949,2,
HKV34-12,Елена,27200,2,
HKV34-13,Зорница,31365,660,
HKV34-14,Клокотница,37321,2,
HKV34-15,Книжовник,37383,2,
HKV34-16,Козлец,37770,2,
HKV34-17,Конуш,38399,2,
HKV34-18,Корен,38580,660,
HKV34-19,Криво поле,39863,2,
HKV34-21,Малево,46293,2,
HKV34-22,Манастир,46992,1896,
HKV34-23,Мандра,47055,660,
HKV34-24,Маслиново,47442,660,
HKV34-25,Николово,51682,1896,
HKV34-26,Нова Надежда,51891,2,
HKV34-27,Орлово,53936,2,
HKV34-28,Подкрепа,57042,1896,
HKV34-29,Родопи,62880,1896,
HKV34-30,Стамболийски,68692,2,
HKV34-31,Стойково,69359,1896,
HKV34-32,Текето,72182,660,
HKV34-33,Тракиец,72953,2,
